Question Administered to all Respondents,Questions Administered to Service Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questions Administered to Service Recipients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate your involvement with ABA,Please indicate your age:,Please indicate your gender:,Please indicate your annual household income (total income before tax) within the following ranges:,Please indicate your highest level of education achieved:,What is your immigrant status:,What is your immigrant status:,What is your visible minority status (select all that apply):,"What is your ethnic origin (note: ""ethnic origin"" refers to the ethnic or cultural origins of your ancestors; select all that apply):",What is your North American Aboriginal origin (select all that apply):,What is your North American origin (select all that apply):,What is your European origin (select all that apply):,What is your African origin (select all that apply):,What is your Asian origin (select all that apply):,What is your first language: - Selected Choice,What is your first language: - other - Text,What languages you are able to speak (select all that apply): - Selected Choice,What languages you are able to speak (select all that apply): - other - Text,"Consulting the previous map of Ontario, in which region do you primarily work:",What is your current professional credential:,What is your primary employment role:,What is your primary work setting:,Which population do you primarily work with:,How comfortable are you working with CLD individuals: - How comfortable are you working with CLD individuals?,How do you perceive your skills in working with CLD individuals: - How do you perceive your skills in working with CLD individuals?,How important do you believe it is for ABA providers to be educated/trained in providing services for CLD populations: - How important do you believe it is for ABA providers to be educated/trained in providing services for CLD populations?,How much training have you received in working with CLD individuals through work/continuing education: - continuing education,How much training have you received in working with CLD individuals through work/continuing education: - training from employers,How much training have you received in working with CLD individuals in college/undergrad: - ABA coursework,How much training have you received in working with CLD individuals in college/undergrad: - non-ABA coursework,How much training have you received in working with CLD individuals in college/undergrad: - hands-on,How much training have you received in working with CLD individuals in your master's: - ABA coursework,How much training have you received in working with CLD individuals in your master's: - non-ABA coursework,How much training have you received in working with CLD individuals in your master's: - hands-on,How much training have you received in working with CLD individuals in your doctorate: - ABA coursework,How much training have you received in working with CLD individuals in your doctorate: - non-ABA coursework,How much training have you received in working with CLD individuals in your doctorate: - hands-on,Approximately what proportion of your clients come from CLD backgrounds:,"How often do you engage in the following behaviours with your clients: - When working with clients who have immigrated from another country, how often do you educate yourself on their countries' customs, values, beliefs, and behaviours?",How often do you engage in the following behaviours with your clients: - How often do you ask your clients about their spiritual beliefs?,How often do you engage in the following behaviours with your clients: - How often do you ask your clients about their use of natural/nonmedical treatments?,How often do you engage in the following behaviours with your clients: - How often do you ask your clients about their dietary restrictions?,How often do you engage in the following behaviours with your clients: - How often do you ask your clients about gestures or nonverbal communication that is important to them or offensive to them?,How often do you engage in the following behaviours with your clients: - How often do you ask caregivers or clients about their beliefs of the client's disorder or diagnosis?,How often do you engage in the following behaviours with your clients: - How often do you ask caregivers or clients about their preference for male vs. female therapists or BCBAs?,How often do you engage in the following behaviours with your clients: - How often do you ask whether the treatment goals and procedures align with the families' values and beliefs?,How often do you engage in the following behaviours with your clients: - How often do you work with a translator if English is a second language?,How often do you reflect on your own culture and how that may impact your assessment and treatment process?,What is your relationship to the person who receives ABA services?,What is your responsibility to the child who receives ABA services:,Please indicate your age:,Please indicate your gender:,Please indicate your annual household income (total income before tax) within the following ranges:,What is your highest level of education achieved:,What is your immigrant status:,What is your immigrant status:,What is your visible minority status (select all that apply):,"What is your ethnic origin (note: ""ethnic origin"" refers to the ethnic or cultural origins of your ancestors; select all that apply):",What is your North American Aboriginal origin (select all that apply):,What is your North American origin (select all that apply):,What is your European origin (select all that apply):,What is your African origin (select all that apply):,What is your Asian origin (select all that apply):,What is your first language: - Selected Choice,What is your first language: - other - Text,What languages you are able to speak (select all that apply): - Selected Choice,What languages you are able to speak (select all that apply): - other - Text,What area do you/your child receives ABA services for (select all that apply) :,"Consulting the previous map of Ontario, in which region do you live:",How skilled do you perceive ABA providers to be in working with CLD individuals:,How important do you believe it is for ABA providers to be educated/trained in providing services for CLD populations:,Approximately what proportion of ABA providers that you've worked with come from CLD backgrounds:,"How often do ABA providers do the following when providing services for you/your family: - If you have immigrated from another country, how often do your providers educate themselves on your country's customs, values, beliefs, and behaviours?",How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about your spiritual beliefs?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about your use of natural/nonmedical treatments?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about your dietary restrictions?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about gestures or nonverbal communication that is important to you or offensive to you?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about your beliefs of the client's disorder or diagnosis?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask about your preference for male vs. female therapists or behaviour analysts?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers ask whether the treatment goals and procedures align with your family's values and beliefs?,How often do ABA providers do the following when providing services for you/your family: - How often do your providers work with a translator if English is your second language?
I am the caregiver of an ABA service recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am the father of a child who receives ABA services,"I am the primary caregiver (i.e., I am the adult who spends the most time caring for this child)",55-59,male,"$100,000 +",university certificate or diploma above a Bachelor level,immigrant,first generation,Chinese,Asian,,,,,"East and Southeast Asian (e.g., Chinese, Indonesian, Japanese, etc.)",English,,English,,Autism Spectrum Disorder,"3507, Toronto Central",moderately skilled,very important,20-29%,rarely,never,rarely,never,most times,most times,never,sometimes,not applicable
I am an ABA service provider,30-34,female,"$100,000 +",Master's,non-immigrant,,not a visible minority,Canadian/American,,Canadian,,,,English,,English,,"3509, Central East",BCBA,supervisor,centre/clinic,Autism Spectrum Disorder,moderately comfortable,neither skilled nor unskilled,very important,none at all,none at all,none at all,none at all,none at all,none at all,none at all,none at all,,,,60-69%,never,rarely,never,sometimes,rarely,rarely,rarely,every time,most times,little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,20-24,female,"$15,000 - $19,999",Bachelor's,non-immigrant,,not a visible minority,"North American Aboriginal,Canadian/American",First Nations,Canadian,,,,French,,"English,French",,"3504, Hamilton Niagara Haldimand Brant",other,"practitioner (i.e., direct services)",client's home,Autism Spectrum Disorder,moderately comfortable,moderately skilled,extremely important,none at all,none at all,none at all,none at all,none at all,,,,,,,50-59%,most times,never,never,rarely,sometimes,rarely,rarely,sometimes,never,extensively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,25-29,female,"$80,000 - $89,999",Master's,non-immigrant,,not a visible minority,European,,,"British Isles (e.g., English, Irish, Scottish, etc.)",,,English,,English,,"3503, Waterloo Wellington",BCBA,supervisor,centre/clinic,Autism Spectrum Disorder,moderately comfortable,moderately skilled,extremely important,a moderate amount,a lot,a little,a little,a great deal,a moderate amount,a little,a great deal,,,,40-49%,sometimes,sometimes,most times,every time,rarely,sometimes,not applicable,every time,sometimes,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,40-44,female,"$100,000 +",Bachelor's,non-immigrant,,not a visible minority,European,,,"French,Southern European (e.g., Italian, Portuguese, Spanish, etc.)",,,English,,"English,French,other",Italian,"3507, Toronto Central",other,"practitioner (i.e., direct services)",hospital,mental health,moderately comfortable,moderately skilled,extremely important,a moderate amount,a moderate amount,none at all,none at all,a little,,,,,,,80-89%,every time,every time,rarely,sometimes,rarely,sometimes,sometimes,most times,sometimes,moderately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,25-29,female,"$100,000 +",Master's,non-immigrant,,Filipino,"European,Asian",,,"Eastern European (e.g., Hungarian, Polish, Russian, etc.)",,"East and Southeast Asian (e.g., Chinese, Indonesian, Japanese, etc.)",English,,English,,"3504, Hamilton Niagara Haldimand Brant",currently pursing RBT/BCaBA/BCBA/BCBA-D,"practitioner (i.e., direct services)",centre/clinic,Autism Spectrum Disorder,extremely comfortable,neither skilled nor unskilled,very important,none at all,a little,none at all,a little,a little,not applicable,a little,a little,,,,prefer not to answer,sometimes,rarely,sometimes,sometimes,most times,sometimes,rarely,every time,not applicable,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,30-34,female,"$100,000 +",Master's,non-immigrant,,not a visible minority,"Canadian/American,European",,Canadian,"Western European (e.g., Austrian, Dutch, German, etc.)",,,English,,English,,"3504, Hamilton Niagara Haldimand Brant",BCBA,supervisor,client's home,Autism Spectrum Disorder,neither comfortable nor uncomfortable,moderately skilled,very important,a moderate amount,a little,none at all,none at all,a little,none at all,a little,a little,,,,30-39%,every time,most times,most times,every time,sometimes,rarely,never,every time,rarely,moderately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,30-34,female,"$100,000 +",Master's,non-immigrant,,not a visible minority,European,,,"British Isles (e.g., English, Irish, Scottish, etc.)",,,English,,"English,other",Spanish,"3503, Waterloo Wellington",BCBA,supervisor,centre/clinic,Autism Spectrum Disorder,extremely comfortable,moderately skilled,extremely important,a moderate amount,a little,a moderate amount,a lot,a great deal,a lot,not applicable,a great deal,,,,50-59%,every time,sometimes,every time,every time,every time,every time,every time,every time,sometimes,extensively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,40-44,female,"$100,000 +",Master's,immigrant,first generation,not a visible minority,European,,,"Eastern European (e.g., Hungarian, Polish, Russian, etc.)",,,other,Russian,"English,French,other",Russian,"3507, Toronto Central",BCBA,supervisor,centre/clinic,Autism Spectrum Disorder,extremely comfortable,moderately skilled,very important,a little,,none at all,a little,a little,none at all,a little,a little,,,,70-79%,sometimes,rarely,never,most times,never,never,never,most times,most times,moderately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am an ABA service provider,30-34,female,"$100,000 +",Master's,non-immigrant,,not a visible minority,Canadian/American,,Canadian,,,,English,,,,"3507, Toronto Central",BCBA,supervisor,client's home,Autism Spectrum Disorder,extremely comfortable,neither skilled nor unskilled,very important,none at all,none at all,none at all,none at all,a moderate amount,none at all,none at all,none at all,,,,40-49%,never,never,sometimes,rarely,rarely,rarely,sometimes,rarely,rarely,little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
